他天生皮肤白，怎么晒都晒不黑。	伊/是/白肉底/，/按怎/曝/嘛/曝/袂/乌/。
因为我是土包子，才不会搭捷运啊！	啊/阮/都/草地倯/，/毋才/袂晓/坐/捷运/！
抽烟不但浪费钱，还会损害身体。	食薰/毋但/了钱/阁/会/损害/身体/。
这几年，一些大公司都流行举办尾牙晚会。	这/几/年/，/一寡/大/公司/拢/时行/举办/尾牙/的/暗会/。
战争会破坏辛苦建设的成果。	战争/会/破害/辛苦/建设/的/成果/。
你都这么大了，还这么鲁钝不通情理。	你/都/大人大种矣/，/阁/遮/擂槌/。
他昨晚被仇家给杀死了。	伊/昨暗/去/予/冤仇人/结果/掷掉矣/。
他不声不响的走了进来，害我吓一跳。	伊/无声无说/行入来/，/害/我/惊/一/趒/。
为了娶妳为妻，就算呕心沥血，我也甘愿。	为着/欲/娶/你/做/某/，/就/算/讲/呕心血/，/我/嘛/甘愿/。
酒放下格，汽水放上格。	酒/囥/下跤/格/，/汽水/囥/顶悬/格/。
这种问题很简单，一般人都知道的还用你来说。	这/号/问题/简简单单/，/众人/捌/的/曷着/你/讲/。
冰箱坏掉了。	冰箱/害去矣/。
他每件事都装得不在乎，不怕人家讥笑他。	伊/逐/项/代志/拢/激/皮皮/，/毋/惊/人/共/伊/笑/。
这个小孩像野马一样难拘束。	这/个/囡仔/若/野马咧/。
买东西需要辨识商标。	买/物件/着爱/认/号头/。
我还没说完，你先别插嘴好吗？	我/犹未/讲煞/，/你/先/莫/插话/好无/？
这本书一千元没人买，最后开价七百元才卖掉。	这/本/册/一千/箍/无/人/买/，/落尾手/开/七百/箍/才/卖出去/。
天花板塌下来。	天篷/陷落来/。
我要回家乡了。	我/欲/转去/阮/乡里矣/。
看到他我就全身都要酥掉了。	看着/伊/我/就/规身躯/强欲/酥去/。
连这种缺德事你都敢做，难道不怕折寿吗？	连/这/款/夭寿代/你/都/敢/做/，/敢/毋/惊/会/促岁寿/？
那件裤子拿来比一下。	彼/领/裤/提/来/比一下/。
我正在忙，你不要吵我。	我/当咧/无闲/，/你/莫/共/我/吵/。
厨房着火了。	灶跤/着火矣/。
这张纸太薄。	这/张/纸/伤/薄/。
他掀盖子的时候去撞到下巴。	伊/掀/盖/的/时/去/挵着/喙下斗/。
这个案子得澈底调查。	这/个/案件/爱/调查/予/透底/。
为人处世要走正道。	做人/着爱/行/正路/。
这种违背天理的事，你也敢做？	这/款/伤天害理/的/代志/，/你/曷/敢/做/？
做生意要敢投入本钱，才会成功。	做生理/爱/敢/下本/，/才/会/成功/。
我出去绕一圈。	出来去/箍一辗/。
警方推测这宗命案可能有幕后的黑手。	警方/推测/这/件/命案/可能/有/幕后/的/藏镜人/。
冒雨去耕田。	透雨/去/作田/。
事情稍微有不顺，他就坐立不安了。	代志/若/有/小可/撞突/，/伊/就/袂食袂困矣/。
我去准备食物。	我/来去/攒/饭菜/。
事情就这样子去做。	代志/就按呢/进行/。
人民推倒独裁者的铜像。	人民/捙倒/独裁者/的/铜像/。
他的事情没有人知道。	伊/的/详细/无人/知/。
西瓜要当季出产的才好吃。	西瓜/着爱/着时/才/会/好/食/。
大家稍微分摊一下。	逐家/小/摊一下/。
他蹲在门口看行人。	伊/跍/伫/门口/看/过路人/。
她娇媚的模样都没有改变。	伊/爱娇/的/模样/拢/无/改变/。
这个孩子很精明。	这/个/囡仔/真/识/。
大学时期，每当放假有空，我们就会去学校的后山运动。	大学/的/时/，/便若/放假/有闲/，/阮/就/会/去/学校/的/后壁山/运动/。
请你到警局配合警方办案。	请/你/来/警察局/协同/警方/办案/。
你身体太虚弱了。	你/的/身体/伤/荏/。
整面墙壁都黑黑的。	规/面/壁/拢/乌乌/。
只是一点点小意思而已。	只是/一屑仔/小/意思/尔尔/。
这件事不用你强出头，我自己就可以解决。	这/件/代志/毋免/你/牚头/，/我/家己/就/会当/解决/。
没有人要相信你。	无人/欲/信用你/。
你真的很不中用，连这种工作都不会做。	你/真正/有够/低路/，/连/这/款/工课/都/袂晓/做/。
不可以说不赢人家就要翻桌子。	毋通/讲/袂/赢人/就/欲/反桌/。
一块糖果掉在地上，马上就招来密密麻麻的蚂蚁。	一/块/糖仔/落/伫/涂跤/，/连鞭/狗蚁/就/生/甲/密密是/。
他是一个很重视饮食的人。	伊/这/个/人/真/重食/。
哦，原来是这样喔！	诺/，/原来/是/按呢喔/！
这些木材很重。	遮的/柴料/真/粗重/。
遇到这种事情，叫他们一家人要怎么生存下去？	拄着/这/款/代志/，/叫/𪜶/规家口仔/欲/按怎/生活落去/？
我一时疏忽，物品竟然让那个小偷偷走了。	我/一时/失觉察/，/物件/煞/予/彼/个/贼仔/偷提去/。
满街都是人，很热闹。	满/街路/拢/是/人/，/真/闹热/。
拜请众神来保佑。	拜请/众神/来/保庇/。
他们两个吵架以后就像陌生人一样。	𪜶/两/个/冤家/了后/就/亲像/生份人/仝款/。
很便宜了，别再出价了！	真/俗矣/，/莫阁/出矣/！
时间过得真快。	日子/过/了/真/紧/。
妈妈洗碗时，失手将盘子摔破。	阿母/洗/碗/的/时/，/盘仔/煞/遛手/摔/破去/。
冷得猛发抖。	寒/甲/咇咇掣/。
把头发抓成束绑起来。	共/头毛/摠/规/摠/，/束起来/。
这种事情你打算瞒他多久？	这/号/代志/你/拍算/欲/隐瞒/伊/偌/久/？
